content,source,category,type
"【質問】あと払い（ペイディ）を選択した際にエラーが発生しました
【回答】決済業者であるPaidy（ペイディ）では決済毎に与信審査を行っており、審査結果によってはあと払いをご利用いただけない場合がございます。「決済が承認されませんでした」というメッセージが表示された場合はあと払い以外のお支払い方法をご選択ください。※審査基準につきましては詳細なご案内ができかねます。","faq","general","question_answer"
"【質問】あと払い（ペイディ）の請求に関するメールが届きません
【回答】お支払い方法にあと払いが選択された場合はPaidyのメールアドレス（noreply@paidy.com）よりお支払いに関するメールが送信されます。迷惑メールフォルダなどをご確認ください。【ご利用確定日の翌月1日から3日の間】までにPaidy側で請求が確定しご案内メールが送信される仕様です。yeniではご案内メールの再送や請求情報の確認はできかねるため、お客さまご自身にてPaidyの窓口へお問い合わせください。","faq","shipping","question_answer"
"【質問】あと払い（ペイディ）とはなんですか？
【回答】あと払い（ペイディ）とは面倒な事前登録なくメールアドレスと携帯電話番号のみで簡単にお支払いができるサービスです。代金は銀行やコンビニなどで翌月以降にお支払いいただけます。ペイディプラスに無料登録すると、分割手数料無料の３回あと払いや毎月の予算設定などの機能を使うことができます。","faq","general","question_answer"
"【質問】注文時に使用したクレジットカードの情報は削除・変更できますか？
【回答】ご注文時に入力されたクレジットカード情報は後からご変更いただくことができません。また、yeniではお客さまのクレジットカード情報を保持しておりませんので、こちらで詳細な確認はできかねます。","faq","payment","question_answer"
"【質問】クレジットカード決済を選択した際にエラーが発生しました
【回答】お支払いが完了せずにエラーが発生した場合、以下のような原因が考えられます。
・カード情報の詳細（カード番号、セキュリティコード等）に誤りがある
・カードの有効期限が切れている
・カード会社による支払い拒否
yeniでは原因の特定ができかねるため、ご利用のカード会社へ詳細をお尋ねくださいますようお願いいたします。","faq","payment","question_answer"
"【質問】クレジットカード決済で指定した請求先の情報は変更はできますか？
【回答】受注システムの仕様上、請求先の宛名やご住所、電話番号の変更を承ることはできかねます。何卒ご了承ください。","faq","payment","question_answer"
"【質問】注文完了後に支払い方法を変更できますか？
【回答】受注システムの仕様上、注文完了後にお支払い方法を変更することはできません。何卒ご了承ください。","faq","payment","question_answer"
"【質問】いつ支払いが発生しますか？
【回答】クレジットカード/Amazon Pay: ご注文の確定後に請求が発生いたします。
あと払い（ペイディ）: ご注文確定後の翌月1日に請求が確定いたします。","faq","payment","question_answer"
"【質問】どのような支払い方法がありますか？
【回答】クレジットカード、あと払い（ペイディ）、Amazon Payにてお支払いが可能です。
・クレジットカード: JCB / VISA / Master card / AMEX がご利用いただけます。※デビットカードはご利用いただけません。
・あと払い（ペイディ）: メールアドレスと携帯電話番号のみで簡単にお支払いができるサービスです。
・Amazon Pay: Amazon.co.jpに登録されているクレジットカード情報を利用してお支払いいただけます。","faq","payment","question_answer"
"【質問】注文完了メールが届きません。注文はできていますか？
【回答】ご登録されているメールがキャリアメール（softbank、au、docomo）の場合、yeniからのメールが迷惑メールへ分類されている可能性や受信拒否設定がされている可能性があります。メールが届かない場合は、迷惑メールフォルダおよび受信設定をご確認ください。","faq","shipping","question_answer"
"【質問】注文が正しく完了しているか確認できますか？
【回答】ご注文が正常に完了した場合は、ご注文時のメールアドレスへ「ご注文完了メール（自動送信）」をお送りいたします。メールが届かない場合は、迷惑メールボックスをご確認ください。また、事前に自動送信メールアドレス（yeni-cs@newn.co）の受信許可設定を行われることをおすすめいたします。アカウント登録を行われている場合はアカウントページでもご注文履歴をご確認いただけます。","faq","orders","question_answer"
"【質問】注文完了後に配送先の住所の変更はできますか？
【回答】商品の発送作業が行われる前でしたら配送先住所の変更を承ることが可能です。変更後の配送先情報を記載のうえ、こちらよりご連絡くださいませ。※商品の発送作業が進んでいる場合は変更を承ることができかねます。注文完了メールに記載されている配送業者と送り状番号（追跡番号）を確認し、配送業者の営業窓口へお届け先の変更をご依頼ください。","faq","shipping","question_answer"
"【質問】注文の一部をキャンセルできますか？
【回答】受注システムの仕様上、ご注文商品の一部キャンセルはできかねます。","faq","orders","question_answer"
"【質問】注文完了後にカラーやサイズ、個数を変更できますか？
【回答】システムの仕様上、一度確定したご注文内容を変更することはできません。何卒ご了承ください。","faq","sizing","question_answer"
"【質問】注文のキャンセルはできますか？
【回答】【定番商品】発送準備前でしたら可能です。発送準備に入っておりますとキャンセルはできかねます。※受注システムの仕様上、ご注文商品の一部キャンセルはできかねます。また、ご注文に限定商品などキャンセル不可の商品が含まれている場合もキャンセルができかねます。※クーポンをご利用の場合、キャンセル後の再適用はできかねます。

【限定商品】ご注文完了後のキャンセルはできかねます。また、定番商品とあわせてご購入いただいている場合、定番商品のみのキャンセルもできかねます。","faq","orders","question_answer"
"【質問】商品からタグが外れていました
【回答】環境配慮の観点からプラスチック製のタグファスナー（ロックス）は使用しておりません。素材説明書は商品に添付しておらず、袋に直接お入れしております。","faq","general","question_answer"
"【質問】実店舗で購入できますか？
【回答】現在、実店舗での販売予定はございません。当サイトからのみご購入が可能です。ポップアップストア等のイベント開催時にはサイトやSNSでお知らせいたします。","faq","general","question_answer"
"【質問】在庫のない商品は再販しますか？
【回答】「Sold out」と表記されている商品につきましては現在再販の予定は決まっていない状況でございます。販売時期が確定いたしましたらサイトやSNSなどでお知らせいたします。","faq","general","question_answer"
"【質問】商品はいつ届きますか？
【回答】【通常販売】ご注文確定後、商品のご用意ができましたら順次発送いたします。発送までに10日ほどお時間をいただく場合がございます。※予約販売の商品と同時にご購入いただいた場合、発送の遅い商品とあわせて配送いたします。お急ぎのお方は通常販売のみのご購入をおすすめいたします。

【予約販売】お届け時期は商品ごとに異なります。各商品ページをご参照ください。※生産の都合でお届けが遅延する場合がございます。※複数の商品を同時にご購入いただいている場合、発送時期の遅い商品にあわせて発送しております。[配送に関するご注意]
・土日祝日を除く、平日を営業日としております。営業時間外には商品の発送は行っておりませんのでご注意ください。
・お盆やGW、年末年始等の臨時休業に関しては、その都度サイトのトップやSNSにてお知らせいたします。
・配送が完了次第、出荷完了メールを自動送信にてお送りいたします。
・道路交通事情により到着日が前後する可能性がございます。また、離島への配送にはお時間をいただく場合がございます。","faq","shipping","question_answer"
"【質問】海外に配送はできますか？
【回答】現在、海外への配送は行っておりません。何卒ご了承ください。","faq","shipping","question_answer"
"【質問】配送業者はどこですか？
【回答】ご注文いただいた商品は佐川急便にてお届けいたします。配送状況は発送完了メールへ記載されている送り状番号を用いてご確認くださいませ。","faq","shipping","question_answer"
"【質問】配送先を複数指定することは可能ですか？
【回答】配送先を複数ご指定いただくことはできかねます。何卒ご了承ください。","faq","shipping","question_answer"
"【質問】別の注文とまとめて送ってもらえますか？
【回答】受注システムの仕様上、商品はご注文番号ごとに発送しております。複数のご注文番号の商品をまとめてお送りすることはできません。あらかじめご了承ください。","faq","orders","question_answer"
"【質問】送料はかかりますか？
【回答】送料は全国一律【660円(税込)】です。1回のご注文（1つのご注文番号）ごとに送料が発生いたします。複数のご注文番号の商品をまとめてお送りすることはできませんのでご注意ください。","faq","general","question_answer"
"【質問】配送日時の変更はできますか？
【回答】商品の発送準備前でしたら変更を承ることが可能です。変更をご希望の場合はご注文番号とあわせてその旨をこちらよりお知らせください。※注文番号は「#yeni-****」のような文字列です。※商品が発送準備に入っている場合は変更ができかねますこと、ご了承ください。","faq","shipping","question_answer"
"【質問】自分に合ったブラのサイズの選び方を教えてください
【回答】自分に合ったブラのサイズを選ぶには、まず正しいサイズを知ることが大切です。

【測り方】
1. アンダーバスト：胸の下（バストの付け根）の周囲をメジャーで測ります。
2. トップバスト：胸の一番高い位置の周囲を測ります。

【サイズの出し方】
アンダーバストの数値から、対応するアンダーサイズを選びます。
例：68cmの場合→70のアンダーサイズ（M）

トップバストとアンダーバストの差からカップサイズを選びます。
・10cm差：A
・12.5cm差：B
・15cm差：C
・17.5cm差：D
・20cm差：E
・22.5cm差：F
・25cm差：G
・27.5cm差：H

例：トップバスト80cm、アンダーバスト68cmの場合
差は12cm→Bカップ相当、アンダーは70→M1サイズが目安となります。

各商品ページにあるサイズ表も参考にして、お選びください。サイズに迷われた場合は、チャットサポートにてお気軽にご相談ください。","faq","sizing","question_answer"
"【質問】ショーツ類のサイズ表を教えてください
【回答】ショーツ類のサイズは、ヒップサイズによって決まります。以下のサイズ表を参考に、ご自身のヒップサイズに合ったサイズをお選びください。

【ビキニショーツ サイズ表】
・S：ヒップ82〜90cm
・M：ヒップ87〜95cm
・L：ヒップ92〜100cm
・LL：ヒップ97〜105cm

【ソング サイズ表】
・S：ヒップ82〜90cm
・M：ヒップ87〜95cm
・L：ヒップ92〜100cm
・LL：ヒップ97〜105cm

【ビキニレースショーツ サイズ表】
・S：ヒップ82〜90cm
・M：ヒップ87〜95cm
・L：ヒップ92〜100cm
・LL：ヒップ97〜105cm

【ハイウエストショーツ サイズ表】
・S：ヒップ82〜90cm
・M：ヒップ87〜95cm
・L：ヒップ92〜100cm
・LL：ヒップ97〜105cm

ヒップサイズの測り方：お尻の一番高い位置の周囲をメジャーで測ります。

サイズ選びに迷われた場合は、チャットサポートにてお気軽にご相談ください。","faq","sizing","question_answer"
"【質問】レースノンワイヤーブラのサイズ表を教えてください
【回答】レースノンワイヤーブラのサイズは、アンダーバスト（胸の下の周囲）とカップサイズ（胸の大きさ）によって決まります。お手持ちのブラのサイズを参考に、以下のサイズ表から最適なサイズをお選びください。

【レースノンワイヤーブラ サイズ表】
・S1：アンダーバスト65cm / A〜Bカップ
・S2：アンダーバスト65cm / C〜Dカップ
・S3：アンダーバスト65cm / E〜Fカップ
・S4：アンダーバスト65cm / G〜Hカップ
・M1：アンダーバスト70cm / A〜Bカップ
・M2：アンダーバスト70cm / C〜Dカップ
・M3：アンダーバスト70cm / E〜Fカップ
・M4：アンダーバスト70cm / G〜Hカップ
・L1：アンダーバスト75cm〜80cm / A〜Bカップ
・L2：アンダーバスト75cm〜80cm / C〜Dカップ
・L3：アンダーバスト75cm〜80cm / E〜Fカップ
・L4：アンダーバスト75cm〜80cm / G〜Hカップ
・LL2：アンダーバスト85cm〜90cm / C〜Dカップ
・LL3：アンダーバスト85cm〜90cm / E〜Fカップ

サイズ選びに迷われた場合は、お気軽にチャットサポートにてご相談ください。","faq","sizing","question_answer"
"【質問】ノンワイヤーブラのサイズ選びについて教えてください
【回答】ノンワイヤーブラのサイズは、アンダーバスト（胸の下の周囲）とカップサイズ（胸の大きさ）によって決まります。お手持ちのブラのサイズを参考に、以下のサイズ表から最適なサイズをお選びください。

【サイズの見方】
例：S1（アンダーバスト65cm / A-Bカップ）
これは、普段お使いのブラのアンダーバストが65cm以下、カップサイズがA〜Bの方におすすめのサイズです。

例：M1（アンダーバスト70cm / A-Bカップ）
これは、普段お使いのブラのアンダーバストが66〜70cm、カップサイズがA〜Bの方におすすめのサイズです。

【ノンワイヤーブラ サイズ表】
・S1：アンダーバスト65cm / A-Bカップ
・S2：アンダーバスト65cm / C-Dカップ
・S3：アンダーバスト65cm / E-Fカップ
・S4：アンダーバスト65cm / G-Hカップ
・M1：アンダーバスト70cm / A-Bカップ
・M2：アンダーバスト70cm / C-Dカップ
・M3：アンダーバスト70cm / E-Fカップ
・M4：アンダーバスト70cm / G-Hカップ
・L1：アンダーバスト75cm〜80cm / A-Bカップ
・L2：アンダーバスト75cm〜80cm / C-Dカップ
・L3：アンダーバスト75cm〜80cm / E-Fカップ
・L4：アンダーバスト75cm〜80cm / G-Hカップ
・LL2：アンダーバスト85cm〜90cm / C〜Dカップ
・LL3：アンダーバスト85cm〜90cm / E〜Fカップ

サイズ選びに迷われた場合は、お気軽にチャットサポートにてご相談ください。実寸サイズ（アンダー・トップ）・ご試着の状態をお知らせいただければ、適切なサイズをご提案いたします。","faq","sizing","question_answer"
